274, 109, 345, 136
276, 154, 338, 181
277, 199, 342, 230
270, 244, 346, 276
265, 291, 354, 317
266, 330, 344, 364
260, 384, 347, 413
269, 429, 345, 457
667, 110, 741, 142
669, 156, 731, 182
671, 197, 731, 233
657, 247, 733, 277
672, 294, 730, 326
659, 338, 735, 365
663, 384, 736, 408
664, 427, 734, 459
659, 472, 738, 497
667, 518, 730, 544
660, 568, 738, 595
1024, 110, 1063, 135
1025, 154, 1072, 186
1022, 205, 1065, 224
1013, 244, 1068, 263
1018, 293, 1063, 318
1021, 332, 1074, 367
1357, 111, 1403, 134
1351, 155, 1400, 179
1361, 208, 1410, 225
1351, 245, 1405, 281
1352, 289, 1404, 320
1351, 336, 1417, 370
